"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20"
"67",4,2,1,1,3,2,2,4,5,1,1,1,4,3,5,4,4,3,4,4
"68",2,5,1,4,4,1,1,2,4,1,1,4,5,1,3,1,4,4,2,1
"69",2,4,1,2,5,1,2,3,3,1,1,2,4,1,4,3,3,4,4,2
"70",2,4,1,2,3,2,1,4,2,1,1,1,5,1,4,2,5,2,4,2
"71",4,4,1,2,2,1,1,3,3,1,1,2,4,1,3,2,2,4,1,1
"72",2,2,1,2,3,1,1,5,5,1,1,1,4,2,5,1,4,4,1,2
"73",5,5,2,3,5,4,1,4,4,5,2,4,4,4,4,4,5,4,5,4
"74",4,5,1,3,2,4,1,3,3,1,1,2,4,1,3,2,5,2,1,4
"75",3,1,1,2,5,4,1,5,4,1,1,4,4,1,5,3,4,4,3,3
"76",2,2,1,3,3,2,1,4,4,1,1,2,4,1,4,2,5,4,4,2
"77",2,2,1,2,4,4,1,2,3,1,1,2,4,2,4,4,5,4,3,4
"78",2,2,1,2,3,3,2,4,4,1,1,2,4,2,3,3,5,4,3,3
"79",1,1,1,1,3,2,1,5,4,1,1,1,4,1,4,2,4,4,4,2
"80",3,4,1,4,4,2,1,3,3,1,1,2,4,4,3,4,4,3,4,2
"81",5,4,1,2,2,2,1,3,2,1,1,1,4,2,3,2,5,4,4,2
"82",2,2,1,2,3,2,2,3,4,1,1,2,4,2,3,2,5,4,4,2
"83",2,1,1,3,4,2,1,3,4,1,1,1,3,1,2,4,5,4,2,2
"84",3,3,2,2,3,2,2,3,3,1,1,2,4,3,4,2,3,3,4,2
"85",3,2,2,3,3,3,1,2,3,1,1,2,4,3,3,4,3,3,3,4
"86",2,3,1,2,4,3,3,4,4,2,3,2,3,1,4,3,4,4,4,2
"87",4,2,2,2,2,2,2,2,4,2,2,2,4,2,4,2,4,4,2,2
"88",2,2,1,4,3,2,2,1,5,1,1,2,4,5,2,4,2,4,2,4
"89",1,1,1,2,3,1,1,5,3,1,1,1,5,1,5,1,5,4,3,1
"90",2,3,2,2,2,2,2,4,2,1,2,2,4,2,4,2,4,4,2,2
"91",1,2,1,3,2,2,1,1,4,1,1,2,4,2,4,4,5,4,2,2
"92",4,2,1,3,2,2,2,4,3,1,1,2,4,2,4,2,2,4,2,2
"93",1,1,1,1,1,1,1,5,5,1,1,1,5,1,5,1,5,5,3,1
"94",2,2,1,1,1,3,1,4,5,2,1,1,5,2,4,3,4,4,4,2
"95",3,2,1,2,3,2,1,4,4,1,1,2,4,2,4,4,2,4,4,2
"96",4,2,2,2,4,3,2,3,2,2,2,2,4,3,3,3,4,5,3,3
"97",2,2,1,3,2,2,2,4,3,1,1,3,4,2,4,2,4,5,3,2
"98",4,3,1,2,2,2,2,4,2,1,1,2,4,4,4,2,3,4,4,2
